semester;date;price;bedrooms;bathrooms;sqft_living;sqft_lot;floors;waterfront;view;condition;grade;sqft_above;sqft_basement;yr_built;yr_renovated;zipcode;lat;long;sqft_living15;sqft_lot15
1;20140502T000000;805000;3;2;2710;4500;1.5;0;0;4;8;1880;830;1929;0;98115;476.747;-122.295;2060;4500
1;20140502T000000;284000;3;1.75;1800;23103;1;0;0;3;7;1800;0;1968;0;98014;476.517;-121.906;1410;18163
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1;20140502T000000;436110;3;2.5;1770;1235;3;0;0;3;8;1600;170;2007;0;98103;476.965;-122.342;1680;1203
1;20140502T000000;385000;3;3.25;1320;1327;2;0;0;3;8;1040;280;2008;0;98199;476.506;-122.383;1440;1263
1;20140502T000000;295000;2;2.5;1630;1368;2;0;0;3;7;1280;350;2009;0;98106;475.489;-122.363;1590;2306
;;;;;;;;;;;;;;;;;;;;
1;20140502T000000;459990;3;2.5;2680;5539;2;0;0;3;8;2680;0;2013;0;98045;474.761;-121.734;2990;6037
;;;;;;;;;;;;;;;;;;;;
1;20140502T000000;300000;3;2.5;2540;5050;2;0;0;3;7;2540;0;2006;0;98042;473.358;-122.055;2280;5050
;;;;;;;;;;;;;;;;;;;;
1;20140503T000000;553000;2;1;900;5000;1;0;0;3;7;900;0;1944;0;98117;476.883;-122.395;1280;5000
1;20140503T000000;379880;3;2.5;1650;14054;1;0;0;4;7;1130;520;1986;0;98027;474.821;-122.017;1940;87555
1;20140503T000000;310000;3;1;1010;9945;1;0;0;4;6;1010;0;1973;0;98065;475.324;-121.763;1390;12710
1;20140504T000000;775000;2;2.5;2680;7392;1;0;0;3;9;2680;0;2004;0;98053;47.717;-122.026;2315;7045
1;20140504T000000;365000;3;2.5;2200;7350;1;0;0;5;8;1570;630;1988;0;98058;474.395;-122.161;2350;7557
;;;;;;;;;;;;;;;;;;;;
1;20140504T000000;783500;3;2.5;2850;7130;2;0;0;3;10;1990;860;1980;0;98122;47.603;-122.289;2280;6459
;;;;;;;;;;;;;;;;;;;;
1;20140505T000000;560000;3;2.5;1900;8744;2;0;0;3;8;1900;0;1987;0;98074;47.62;-122.043;2030;8744
1;20140505T000000;900000;3;1;1330;77972;1;0;0;3;7;1330;0;1928;1954;98033;476.891;-122.159;1340;17689
1;20140505T000000;531000;2;3;1270;1175;2;0;0;3;8;1110;160;2000;0;98103;476.634;-122.34;1290;1800
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1;20140505T000000;210000;3;1;1340;306848;1;0;0;3;5;1340;0;1953;0;98019;477.534;-121.912;1800;128066
;;;;;;;;;;;;;;;;;;;;
1;20140505T000000;705380;3;2.5;2490;4343;2;0;0;3;9;2490;0;2003;0;98029;475.493;-121.993;2130;4106
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1;20140505T000000;580000;2;1;2540;7000;1;0;0;5;8;1320;1220;1942;0;98118;475.259;-122.261;2160;6000
1;20140505T000000;410000;3;2.25;1800;36704;1;0;0;4;8;1360;440;1978;0;98027;474.688;-122.013;2730;36404
;;;;;;;;;;;;;;;;;;;;
1;20140505T000000;400000;2;1.75;2110;9519;1;0;0;2;7;2110;0;1948;0;98155;477.504;-122.306;1480;9519
1;20140505T000000;549000;2;1;1140;5400;1;0;0;5;7;1140;0;1908;0;98112;476.205;-122.294;1520;4800
1;20140505T000000;620000;3;1.75;1480;2185;2.5;0;0;3;9;1480;0;2005;0;98034;476.945;-122.17;1480;2441
1;20140505T000000;405000;2;3;1410;1240;2;0;0;3;8;1140;270;2006;0;98136;475.221;-122.39;1410;1273
1;20140505T000000;232000;2;1;1200;8063;1;0;0;4;6;1200;0;1958;0;98198;474.204;-122.324;1200;7500
;;;;;;;;;;;;;;;;;;;;
1;20140505T000000;650000;3;1.5;2160;9000;1;0;2;4;8;1400;760;1949;0;98177;477.241;-122.369;3010;9000
;;;;;;;;;;;;;;;;;;;;
1;20140505T000000;770000;3;2;2350;5700;1.5;0;0;4;8;1810;540;1939;0;98112;47.639;-122.31;2170;6000
1;20140505T000000;524000;3;1.75;1560;5520;1;0;0;4;6;780;780;1944;0;98199;476.515;-122.399;1470;6000
;;;;;;;;;;;;;;;;;;;;
1;20140505T000000;670000;3;2.5;1680;2000;3;0;0;3;9;1680;0;1909;1998;98105;476.604;-122.29;1950;5000
;;;;;;;;;;;;;;;;;;;;
1;20140505T000000;406100;3;2.25;1410;1332;3;0;0;3;8;1410;0;2005;0;98103;476.916;-122.34;1430;1448
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1;20140505T000000;184000;3;1.75;1490;10125;1;0;0;4;7;1490;0;1962;0;98001;473.075;-122.284;2488;4981
1;20140505T000000;570000;3;2.25;2010;6000;1;0;0;3;8;1330;680;1975;0;98052;476.912;-122.115;2080;8260
1;20140505T000000;787000;3;1.75;1330;7500;1;0;0;3;8;1330;0;1961;0;98004;476.074;-122.195;1690;7800
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1;20140505T000000;400000;2;1;840;5510;1;0;0;3;7;840;0;1955;0;98136;475.247;-122.391;1630;5510
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1;20140505T000000;300000;3;2;1050;10072;1;0;0;3;7;1050;0;1986;0;98019;477.341;-121.976;1130;10087
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1;20140505T000000;398750;3;2.5;2230;4000;2;0;0;3;7;2230;0;1954;0;98144;475.801;-122.306;1310;4000
1;20140505T000000;206000;2;1;810;7158;1;0;0;5;6;810;0;1944;0;98168;474.882;-122.325;1090;7158
;;;;;;;;;;;;;;;;;;;;
1;20140505T000000;600000;3;1.75;1670;39639;1;0;0;4;8;1670;0;1976;1992;98075;475.929;-121.989;2330;30492
;;;;;;;;;;;;;;;;;;;;
1;20140505T000000;287000;3;1;1450;6000;1;0;0;4;7;1450;0;1953;0;98118;475.238;-122.287;1170;6464
;;;;;;;;;;;;;;;;;;;;
1;20140505T000000;309950;3;2.5;1880;7838;2;0;0;3;7;1880;0;1994;0;98055;474.439;-122.19;1810;7915
1;20140505T000000;600000;3;1.75;1880;6360;1;0;0;4;7;1040;840;1945;0;98115;476.878;-122.286;1770;6175
1;20140505T000000;418000;3;2;1410;6030;1.5;0;0;4;7;1410;0;1930;0;98103;476.994;-122.347;1410;6300
;;;;;;;;;;;;;;;;;;;;
1;20140505T000000;329950;2;1;1140;5250;1.5;0;0;4;6;1140;0;1949;0;98133;47.731;-122.341;1450;5250
1;20140505T000000;245000;3;1.75;1920;9306;1;0;0;3;7;1000;920;1984;0;98001;473.319;-122.267;1860;8458
;;;;;;;;;;;;;;;;;;;;
1;20140505T000000;800000;3;2.5;3240;7857;2;0;0;3;10;3240;0;1994;0;98075;475.857;-122.038;2970;7857
1;20140505T000000;249950;3;2;1550;15040;1;0;0;4;6;1550;0;1958;0;98059;474.873;-122.099;1510;41416
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1;20140505T000000;1,43E+09;2;2.5;2220;4000;2;0;0;3;9;2220;0;2000;0;98112;476.364;-122.28;1870;4000
1;20140505T000000;585000;2;1;1770;8640;1.5;0;0;3;6;1520;250;1949;0;98117;476.926;-122.363;1060;4804
;;;;;;;;;;;;;;;;;;;;
1;20140505T000000;618500;3;2;1800;5000;1;0;0;4;7;1080;720;1942;0;98115;476.738;-122.297;1800;5000
;;;;;;;;;;;;;;;;;;;;
1;20140505T000000;509900;3;2.5;1790;2700;2;0;0;3;8;1790;0;2010;0;98027;47.564;-122.093;1890;3078
;;;;;;;;;;;;;;;;;;;;
1;20140505T000000;555000;3;2.5;1940;3211;2;0;0;3;8;1940;0;2009;0;98027;475.644;-122.093;1880;3078
1;20140505T000000;340000;2;1.5;1160;1438;2;0;0;3;7;1160;0;2001;0;98144;475.917;-122.295;1220;1740
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1;20140505T000000;366750;3;3;1571;2017;3;0;0;3;8;1571;0;2008;0;98125;477.338;-122.309;1520;1497
1;20140505T000000;415000;3;2.25;1620;998;2.5;0;0;3;8;1540;80;2010;0;98027;475.401;-122.027;1620;1299
1;20140505T000000;416286;3;2.5;1408;989;3;0;0;3;8;1408;0;2005;0;98115;476.856;-122.315;1408;1342
1;20140505T000000;478000;3;2.5;3040;4535;2;0;0;3;9;3040;0;2007;0;98056;47.51;-122.185;2670;4666
;;;;;;;;;;;;;;;;;;;;
1;20140505T000000;419190;2;2.5;1590;1426;2;0;0;3;8;1590;0;2014;0;98029;475.441;-122.013;1590;1426
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1;20140506T000000;450000;2;2;1100;3000;1.5;0;0;3;7;1100;0;1912;2005;98117;476.797;-122.362;1390;4000
1;20140506T000000;353000;3;1;1350;7740;1;0;0;4;6;860;490;1947;0;98125;477.098;-122.291;1130;7740
;;;;;;;;;;;;;;;;;;;;
1;20140506T000000;234000;3;1.75;1490;8366;1;0;0;4;7;1010;480;1975;0;98042;47.375;-122.14;1490;7469
1;20140506T000000;561000;3;2;2000;7000;2;0;0;3;7;2000;0;1916;1986;98136;475.452;-122.393;1840;7000
1;20140506T000000;469000;2;1;1030;4400;1;0;0;3;7;1030;0;1924;0;98117;47.681;-122.361;1400;4200
1;20140506T000000;329350;2;1;720;6687;1;0;0;3;6;720;0;1942;0;98117;477.001;-122.362;840;6687
;;;;;;;;;;;;;;;;;;;;
1;20140506T000000;279900;3;1.75;1580;8151;1;0;1;4;7;1100;480;1962;0;98198;473.672;-122.312;1650;8151
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1;20140506T000000;650000;3;1.5;1630;7475;1;0;1;3;7;1160;470;1940;0;98115;476.725;-122.272;2320;7475
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1;20140506T000000;219000;2;1;900;5160;1;0;0;3;6;900;0;1952;0;98106;47.525;-122.356;900;5160
1;20140506T000000;250000;3;1;1050;6874;1;0;0;3;6;1050;0;1954;0;98133;47.762;-122.355;1500;8954
1;20140506T000000;390000;3;1.75;1260;6500;1;0;0;4;7;1260;0;1966;0;98008;476.224;-122.116;1500;7700
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1;20140506T000000;272000;3;2.5;1650;13816;2;0;0;3;7;1650;0;1998;0;98014;476.553;-121.912;1650;15144
1;20140506T000000;362000;3;2.25;1640;14374;1;0;0;4;7;1140;500;1963;0;98148;474.476;-122.332;2020;10500
1;20140506T000000;535000;3;2.5;1850;10109;2;0;0;3;8;1850;0;1991;0;98034;477.163;-122.229;1780;9660
;;;;;;;;;;;;;;;;;;;;
1;20140506T000000;367500;3;1.5;1410;9647;1;0;0;3;8;1410;0;1961;0;98177;477.608;-122.361;2090;9272
;;;;;;;;;;;;;;;;;;;;
1;20140506T000000;520000;3;2.5;2460;54885;2;0;0;4;8;2460;0;1980;0;98059;474.996;-122.146;2770;21407
1;20140506T000000;175000;3;1;1010;7034;1;0;0;3;7;1010;0;1954;0;98055;47.49;-122.22;1440;10994
1;20140506T000000;460000;2;2.25;1230;929;2;0;0;3;8;1020;210;2004;0;98122;476.191;-122.301;1270;1370
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1;20140506T000000;218000;3;1.75;1850;7684;1;0;0;3;8;1320;530;1979;0;98023;472.975;-122.37;1940;7630
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1;20140506T000000;136500;3;1.5;1420;8580;1;0;0;3;6;1420;0;1962;0;98023;473.076;-122.362;1200;8580
1;20140506T000000;313950;3;1;1510;6083;1;0;0;4;6;860;650;1940;0;98115;476.966;-122.324;1510;5712
1;20140506T000000;575000;3;1.75;2130;6500;1;0;2;3;8;1170;960;1954;0;98199;476.424;-122.386;2020;5000
;;;;;;;;;;;;;;;;;;;;
1;20140506T000000;280000;3;1.75;1630;11800;1;0;0;4;7;1630;0;1971;0;98045;474.863;-121.73;2090;57428
1;20140506T000000;515000;3;2.5;1790;7167;2;0;0;3;8;1790;0;1989;0;98074;476.176;-122.045;1680;7418
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1;20140506T000000;365000;3;1.5;1310;8160;1;0;0;3;7;1310;0;1950;0;98133;477.291;-122.339;1090;7560
1;20140506T000000;518000;3;1.5;1430;8000;1;0;0;4;7;1430;0;1956;0;98007;475.874;-122.136;1450;8000
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1;20140506T000000;525000;3;2.5;2970;11985;1;0;0;3;9;1770;1200;1995;0;98074;476.359;-122.052;2990;12049
1;20140506T000000;484000;2;1.75;1660;6000;1;0;0;3;7;1160;500;1942;0;98105;476.624;-122.291;1660;4000
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1;20140506T000000;78000;2;1;780;16344;1;0;0;1;5;780;0;1942;0;98168;474.739;-122.28;1700;10387
1;20140506T000000;387000;3;1;1230;9568;1;0;0;5;7;1230;0;1962;0;98056;47.539;-122.179;1270;9575
;;;;;;;;;;;;;;;;;;;;
1;20140506T000000;910000;3;3.5;3020;4082;2;0;0;3;9;2080;940;1954;2004;98199;47.651;-122.409;2060;5102
1;20140506T000000;465000;3;2.25;1970;11088;1;0;0;4;8;1180;790;1967;0;98155;477.651;-122.277;1970;10470
;;;;;;;;;;;;;;;;;;;;
1;20140506T000000;345000;3;1;1110;6250;1;0;0;3;7;1110;0;1956;0;98115;476.977;-122.292;2010;6944
;;;;;;;;;;;;;;;;;;;;
1;20140506T000000;385000;3;1.75;1900;5520;1;0;0;3;7;1280;620;1982;0;98118;475.549;-122.292;1330;5196
1;20140506T000000;675000;2;1;930;36478;1;0;2;3;6;930;0;1951;0;98006;475.699;-122.164;2800;11141
1;20140506T000000;197000;3;1.75;1690;7735;1;0;0;4;7;1060;630;1976;0;98001;473.324;-122.28;1580;7503
1;20140506T000000;485000;3;2;1420;4080;1.5;0;0;3;7;1420;0;1905;2013;98103;476.872;-122.349;1420;4590
;;;;;;;;;;;;;;;;;;;;
1;20140506T000000;295000;3;2.25;1980;8000;1;0;0;4;9;1560;420;1974;0;98023;473.149;-122.378;2360;8000
1;20140506T000000;499000;2;1.75;1170;2400;1;0;0;4;7;740;430;1903;0;98103;476.653;-122.333;1570;3919
1;20140506T000000;1.05e+006;3;2.5;2200;1970;2;0;0;3;9;1610;590;2008;0;98102;476.426;-122.327;1890;3505
1;20140506T000000;191000;3;1.5;800;8850;1;0;0;4;6;800;0;1959;0;98023;473.266;-122.348;820;8775
1;20140506T000000;500000;3;2.5;1480;1171;3;0;0;3;8;1480;0;2006;0;98112;47.62;-122.3;1480;1231
;;;;;;;;;;;;;;;;;;;;
1;20140506T000000;979000;3;2.5;2690;4047;3;0;0;3;10;2690;0;2014;0;98117;476.797;-122.385;2040;5000
;;;;;;;;;;;;;;;;;;;;
1;20140506T000000;369950;3;2;1270;1320;3;0;0;3;8;1270;0;2006;0;98103;476.937;-122.342;1370;1320
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1;20140507T000000;519950;3;2.25;1170;1249;3;0;0;3;8;1170;0;2014;0;98107;476.722;-122.381;1350;1310
;;;;;;;;;;;;;;;;;;;;
1;20140507T000000;495000;3;1;990;6000;1;0;0;3;6;990;0;1943;0;98105;476.718;-122.267;1250;6000
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1;20140507T000000;253000;3;1.75;1250;10122;1;0;0;3;7;1250;0;1994;0;98010;473.277;-122.001;1980;10175
1;20140507T000000;503000;3;2.75;1540;6760;1;0;0;5;7;1210;330;1980;0;98034;477.163;-122.212;1540;7416
1;20140507T000000;275000;3;2.5;1600;7000;2;0;0;4;8;1600;0;1993;0;98038;473.534;-122.057;1700;7000
1;20140507T000000;249000;3;1;1110;8423;1;0;0;3;7;1110;0;1952;0;98166;474.718;-122.342;1140;9083
1;20140507T000000;310000;3;1.75;1840;10723;1;0;0;4;7;1220;620;1974;0;98058;47.429;-122.154;1590;9820
1;20140507T000000;750000;3;2.75;2520;5401;1;0;0;4;7;1360;1160;1946;0;98119;476.452;-122.373;1800;5036
1;20140507T000000;630000;3;2.5;2680;327135;2;0;0;3;8;2680;0;1995;0;98010;473.783;-122.003;2020;60080
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1;20140507T000000;310000;3;1.75;2070;37904;1;0;0;4;7;1420;650;1973;0;98058;47.425;-122.186;2011;19110
1;20140507T000000;460000;3;2;1760;9055;2;0;0;4;7;1760;0;1985;0;98052;476.534;-122.128;2010;9383
1;20140507T000000;675000;3;1.75;1680;10500;1;0;0;4;8;1680;0;1959;0;98005;476.098;-122.169;2250;10400
1;20140507T000000;526000;2;2;1550;2400;1.5;0;0;4;7;1550;0;1900;0;98103;47.654;-122.346;1180;1224
1;20140507T000000;560000;3;3;4120;60392;2;0;2;3;9;3180;940;1994;0;98014;476.804;-121.913;2770;64033
;;;;;;;;;;;;;;;;;;;;
1;20140507T000000;246000;3;1;1400;7410;1;0;0;3;6;1400;0;1944;0;98166;474.798;-122.343;1070;7410
1;20140507T000000;314500;3;1.75;1870;12381;1;0;0;4;8;1870;0;1957;0;98003;473.358;-122.32;1950;12667
;;;;;;;;;;;;;;;;;;;;
1;20140507T000000;420000;2;1.5;1040;3500;1.5;0;0;4;6;1040;0;1904;0;98144;47.588;-122.304;1340;1213
1;20140507T000000;535000;3;1.75;2720;149410;1.5;0;0;3;9;2720;0;1988;0;98014;477.092;-121.892;2560;149410
1;20140507T000000;350000;3;1;1010;9360;1;0;0;3;6;1010;0;1981;0;98033;476.874;-122.168;1470;9360
1;20140507T000000;515000;3;1.75;1580;9147;1;0;1;4;7;1210;370;1967;0;98008;476.069;-122.112;2600;23564
;;;;;;;;;;;;;;;;;;;;
1;20140507T000000;230000;3;2.5;1920;9180;2;0;0;3;8;1920;0;1988;0;98055;474.818;-122.231;1930;7252
1;20140507T000000;568000;3;2;2350;5080;1.5;0;0;3;8;1780;570;1929;0;98118;475.516;-122.263;1700;5080
1;20140507T000000;250000;1;1;1100;4373;1;0;0;2;6;820;280;1947;0;98166;474.653;-122.338;1100;7500
;;;;;;;;;;;;;;;;;;;;
1;20140507T000000;651000;3;2.5;3240;108366;2;0;0;4;10;3240;0;1991;0;98042;47.327;-122.094;2090;108366
1;20140507T000000;600000;3;2.5;2460;108900;1;0;0;4;9;1860;600;1977;0;98027;474.824;-122;2870;102366
1;20140507T000000;500000;2;1;1010;3885;1.5;0;0;4;7;1010;0;1906;1990;98112;476.224;-122.304;1770;4200
1;20140507T000000;475000;2;1;820;2723;1;0;0;3;7;820;0;1921;0;98103;476.623;-122.339;1370;3850
;;;;;;;;;;;;;;;;;;;;
1;20140507T000000;420000;3;2.25;1770;8165;2;0;0;3;7;1770;0;1977;0;98034;477.166;-122.236;1650;8165
1;20140507T000000;428000;2;2;1350;3900;1;0;0;3;8;1350;0;2003;0;98053;477.094;-122.03;1440;3900
1;20140507T000000;599000;3;1.75;1960;4788;1;0;0;4;7;1090;870;1920;0;98115;476.746;-122.312;1960;3960
;;;;;;;;;;;;;;;;;;;;
1;20140507T000000;630000;2;2.25;2550;5663;1;0;0;3;10;1720;830;2011;0;98056;475.304;-122.202;2560;3828
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1;20140507T000000;313000;3;1.75;2190;8000;1;0;0;4;8;2190;0;1967;0;98023;473.098;-122.381;1980;8000
1;20140507T000000;618080;3;2.5;2030;6500;2;0;0;3;8;2030;0;1988;0;98027;475.654;-122.092;2030;8485
1;20140507T000000;640000;3;3;2270;5175;2;0;0;3;9;2130;140;2002;0;98056;47.516;-122.203;2850;5661
1;20140507T000000;485000;3;2;1610;4160;1;0;0;4;7;1010;600;1917;0;98136;475.421;-122.388;1040;4400
1;20140507T000000;300000;2;1;760;3001;1;0;0;3;6;760;0;1913;0;98144;475.874;-122.311;1750;5000
1;20140507T000000;379500;2;1;1640;17335;1;0;0;3;7;840;800;1978;0;98053;476.397;-121.953;2440;17850
;;;;;;;;;;;;;;;;;;;;
1;20140507T000000;339950;3;2.25;1630;12295;2;0;0;4;7;1630;0;1985;0;98058;474.279;-122.161;1730;9948
;;;;;;;;;;;;;;;;;;;;
1;20140507T000000;1.34e+006;3;3;2960;5500;2;0;2;3;10;2440;520;1937;1990;98199;476.356;-122.402;2960;5876
1;20140507T000000;500000;3;2.5;1940;37565;1;0;0;4;8;1940;0;1987;0;98027;474.801;-122.063;2560;37565
1;20140507T000000;239900;3;2;1410;7566;1;0;0;3;7;1410;0;1985;0;98030;473.674;-122.182;1570;7210
1;20140507T000000;314950;3;1;1040;16986;1;0;0;4;7;1040;0;1968;0;98059;474.812;-122.097;1660;16986
1;20140507T000000;361280;2;1;820;6400;1;0;0;4;7;820;0;1944;0;98126;47.55;-122.379;1490;6400
1;20140507T000000;100000;2;1;910;22000;1;0;0;3;6;910;0;1956;0;98001;472.777;-122.252;1326;9891
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1;20140507T000000;280000;3;2.5;1600;4271;2;0;0;3;7;1600;0;2000;0;98001;473.303;-122.269;1700;4746
1;20140507T000000;440000;3;1.75;1500;6180;1;0;0;4;6;1060;440;1947;0;98118;475.689;-122.284;1740;6180
;;;;;;;;;;;;;;;;;;;;
